NGÀY,GIÁ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,GIÁ TB,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,OUTLIER_BLOCK_TRADE,LOG_RETURN,VOLATILITY_30D,MONTH
2022-05-24,49844.0839675472,1700,0.01761658,48981.2026768665,49844.0839675472,48727.4140619606,97333.02520401531,1384700,134777040000,20000,2064000000,1404700,136841040000,0,0.017463207015482946,0.5128567934299039,5
2022-05-25,53295.6091302694,6800,0.06924644,50503.9343663028,53295.6091302694,50097.8725824532,102826.44531664369,3770800,387737960000,0,0,3770800,387737960000,0,0.06695413479710295,0.5397287811486188,5
2022-05-26,53600.1554681566,600,0.00571429,53397.1245762318,54361.5213128747,53092.5782383445,105729.28351093663,1426400,150812250000,340000,37690000000,1766400,188502250000,0,0.005698021114636692,0.5387275919370684,5
2022-05-27,56747.1342929915,6200,0.05871212,53600.1554681566,56848.649738954,53549.3977451755,110044.83549917492,3878400,426797890000,616700,69625430000,4495100,496423320000,0,0.05705318944883674,0.5471724666323992,5
2022-05-30,56493.3456780856,-500,-0.00447227,56391.8302321231,57051.6806308788,55427.4334954801,111017.79005967401,2496900,277200320000,8500100,1016416120000,10997000,1293616440000,1,-0.004482302439497047,0.5456498318838566,5
2022-05-31,55782.7375563486,-1400,-0.01257862,56493.3456780856,56493.3456780856,54564.5522047996,109522.61474269819,2157000,236240280000,698300,83077700000,2855300,319317980000,0,-0.012658396871924814,0.5454337652348807,5
2022-06-01,56747.1342929915,1900,0.01728844,55782.7375563486,57305.4692457849,55731.9798333674,111483.83992143384,2036500,227036840000,1314300,154430250000,3350800,381467090000,0,0.017140699311421887,0.5478835985112236,6
2022-06-02,56594.861124048,-300,-0.00268336,57254.7115228037,58269.8659824279,56391.8302321231,113349.5551290998,2292800,259887860000,471100,56201000000,2763900,316088860000,0,-0.00268696982082296,0.5406590840676025,6
2022-06-03,57863.8041985782,2500,0.02242152,56594.861124048,57863.8041985782,56290.3147861607,112229.03923913663,1755900,197062970000,864200,103099060000,2620100,300162030000,0,0.022173857494321422,0.5445179807747521,6
2022-06-06,57356.2269687661,-1000,-0.00877193,57863.8041985782,58878.9586582024,56848.649738954,114474.9042295364,2558200,292849700000,759200,91803090000,3317400,384652790000,0,-0.00881062968215492,0.5451992663638587,6
